RespId,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q30,ppage,educ,race,gender,income_cat,voter_category
470097,3,4,1,1,1,3,2,1,2,3,2,2,1,4,73,1,3,2,2,2
470098,2,2,4,1,2,1,2,2,2,2,1,2,1,1,27,1,4,1,2,3
470100,1,1,1,1,1,4,1,1,1,2,1,1,1,4,28,1,4,2,1,2
470101,2,3,2,3,3,2,3,3,3,3,3,3,2,3,49,1,3,2,4,3
470102,3,4,1,1,2,4,3,2,2,3,1,1,1,3,56,2,4,2,2,3
470103,1,1,3,4,2,2,1,2,2,4,1,2,1,2,59,1,1,2,4,2
470104,1,1,4,3,2,2,4,3,3,2,3,2,1,3,72,2,4,2,3,1
470106,1,1,1,1,1,1,1,1,1,1,1,1,2,3,39,3,4,2,1,3
470107,2,2,4,2,2,3,3,3,3,2,3,3,1,3,40,1,4,2,4,3
470108,1,1,3,2,2,1,1,1,1,1,1,1,1,2,62,2,1,2,2,2
470109,2,2,1,1,2,2,2,2,2,2,2,2,1,1,75,2,4,2,1,3
470111,1,3,4,4,3,1,1,2,3,1,1,2,1,3,74,1,4,1,3,1
470112,1,2,3,2,3,1,1,1,2,1,1,1,1,1,62,2,2,1,3,3
470113,1,1,2,1,1,2,4,3,3,3,4,4,2,2,29,1,4,2,4,1
470115,2,3,1,1,1,2,4,2,2,3,2,1,2,3,77,2,4,1,3,1
470116,2,2,4,2,3,2,1,1,2,3,3,2,1,5,43,1,4,1,4,2
470117,1,3,4,2,2,1,1,1,1,1,1,1,1,2,64,3,3,1,2,1
470118,2,1,4,2,2,1,1,2,2,3,2,1,1,2,65,2,4,1,1,2
470119,2,2,2,2,2,2,2,2,2,3,2,3,1,1,89,3,1,2,3,1
480127,2,2,4,3,2,1,2,2,2,2,3,1,1,2,68,3,1,1,1,1
470120,1,1,1,3,2,1,2,2,3,2,2,2,1,1,69,2,4,1,2,2
470121,1,2,4,2,3,1,1,1,1,1,1,1,1,2,79,1,4,1,4,1
470122,4,4,3,1,3,2,1,1,2,3,3,1,1,1,71,2,4,1,1,2
470125,2,2,4,3,2,1,1,1,2,2,1,1,1,3,66,3,4,2,2,1
470126,3,4,4,2,3,2,1,1,2,3,2,3,1,1,72,2,4,1,4,1
470127,2,3,2,2,3,2,2,2,2,2,2,2,1,3,53,2,4,1,2,3
470128,1,1,3,1,2,2,2,2,1,2,3,2,1,3,62,1,4,2,4,3
470131,1,2,3,3,3,1,4,3,3,2,2,3,1,3,30,1,1,2,3,3
470133,1,1,4,2,2,2,3,2,2,2,3,2,1,3,43,1,2,1,4,1
470134,2,2,2,1,2,1,2,2,3,3,3,3,2,2,72,2,4,1,2,3
470135,4,4,4,1,2,4,1,1,2,1,1,1,1,1,65,3,4,1,4,2
470137,3,4,4,2,1,2,1,2,2,4,1,3,2,5,59,2,4,2,2,3
470138,1,2,2,3,2,1,1,1,1,2,4,1,1,2,69,2,1,2,1,1
470139,1,1,3,2,2,1,1,2,2,3,3,2,1,2,76,3,1,1,2,1
470140,4,4,1,1,2,4,2,3,3,3,2,1,1,1,74,3,4,1,1,2
470141,2,4,2,1,2,2,1,1,3,3,2,2,1,3,69,1,4,2,3,2
470142,3,3,2,4,4,1,1,2,2,2,2,2,1,1,81,1,4,2,4,1
480152,1,1,3,2,2,2,2,1,1,2,2,1,1,2,56,2,1,2,4,2
470143,2,3,4,2,2,2,3,3,2,4,4,2,1,1,75,2,4,1,1,2
470144,1,1,3,1,2,2,2,2,2,4,3,2,1,5,44,1,1,2,3,2
470145,3,3,2,1,3,2,2,2,2,4,4,4,1,1,47,3,4,1,4,2
470146,1,1,4,3,3,1,1,1,1,2,4,1,1,2,77,1,1,1,4,2
470147,3,4,2,1,3,2,2,1,1,4,3,2,1,1,63,1,4,1,2,1
470148,2,2,3,4,1,2,2,2,2,2,1,2,1,2,63,3,4,2,3,1
470149,3,4,2,1,3,2,1,2,2,2,2,1,1,1,82,2,4,1,4,1
470151,3,3,2,1,3,3,3,3,2,2,2,3,1,5,69,1,2,1,2,1
470152,3,4,2,2,2,2,3,3,3,3,3,3,1,1,49,1,4,2,3,1
470154,3,1,4,1,1,4,1,1,1,1,1,1,1,2,76,3,1,1,3,1
470158,1,3,4,1,1,2,1,1,1,1,2,1,1,1,57,3,4,1,4,1
470159,4,4,1,1,2,3,1,2,3,2,2,2,1,1,57,1,4,2,4,2
470160,4,4,3,1,3,3,2,1,1,3,2,1,1,1,41,1,4,1,4,2
470162,4,4,3,1,4,4,1,1,2,1,2,1,1,1,78,1,4,1,1,2
470163,1,3,3,2,2,2,2,2,2,4,4,3,1,5,72,1,4,2,3,3
470164,1,2,3,2,2,1,1,3,3,3,2,1,2,3,77,2,4,1,3,1
470165,2,2,2,1,1,1,2,2,2,1,1,2,2,2,46,1,2,2,3,2
470167,1,1,4,4,3,2,2,2,2,3,4,2,1,2,73,1,4,2,1,1
470168,4,4,4,1,2,2,4,4,4,4,4,4,1,1,60,2,4,2,2,2
470169,2,3,3,2,3,2,1,1,2,3,3,2,1,1,89,3,4,1,2,1
480183,1,1,3,1,1,1,3,4,4,4,4,2,2,3,29,3,1,2,1,3
470172,4,4,1,1,2,4,3,1,1,4,3,3,1,1,64,3,4,2,4,1
470174,1,1,4,2,2,1,2,2,2,2,4,2,1,2,63,3,4,1,3,3
470175,1,4,2,1,1,2,1,1,1,1,1,1,1,2,60,2,1,1,1,3
470177,1,1,4,1,1,1,1,2,1,3,2,1,1,1,26,1,4,2,3,1
470179,2,3,3,1,2,2,1,1,2,2,2,2,1,3,25,1,4,2,2,1
470180,2,3,4,2,3,1,2,1,2,2,2,2,1,1,79,2,4,1,3,2
470181,2,2,4,4,1,1,3,3,3,2,3,3,1,3,74,1,1,1,3,2
470182,4,4,2,1,3,2,1,2,2,3,3,1,1,1,73,1,4,1,3,1
470183,4,4,3,2,2,2,1,1,1,2,2,1,1,1,60,1,4,2,4,1
470184,4,4,2,1,1,2,2,2,2,4,3,2,1,3,55,3,4,2,3,2
470186,1,1,4,4,4,1,1,1,2,1,1,1,1,2,71,1,4,2,4,1
470187,3,4,1,1,1,2,1,1,1,1,1,1,1,1,47,3,4,1,4,1
470188,4,4,2,1,3,4,1,2,2,4,4,2,1,1,72,1,1,2,4,1
470189,2,2,1,1,1,2,1,3,3,4,3,1,2,5,22,2,4,1,3,3
470190,1,1,4,1,3,3,1,1,1,3,2,3,1,5,64,3,4,2,3,1
470191,1,1,4,4,3,2,1,1,2,2,1,2,1,2,88,3,4,2,2,1
470193,3,3,1,1,2,3,1,2,2,2,2,2,1,3,66,2,4,1,2,1
470196,1,1,2,1,1,1,1,1,1,2,1,1,1,2,81,3,1,1,2,2
470198,4,4,2,1,3,2,2,2,3,4,1,2,1,1,56,2,4,1,3,2
